x,y,t,id
-73.8601516,42.7952815,2011-02-11T18:06:14Z,1072
-73.8600106,42.7953403,2011-02-11T18:10:09Z,1072
-73.8601332,42.7952782,2011-02-11T18:20:59Z,1072
-73.8601242,42.7948286,2011-02-11T18:41:31Z,1072
-73.8603745,42.7950915,2011-02-11T19:41:11Z,1072
-73.8602274,42.7951506,2011-02-11T19:50:58Z,1072
-73.8612401,42.7950368,2011-02-11T20:01:13Z,1072
-73.850762,42.800819,2011-02-12T23:31:32Z,1072
-73.8508235,42.8023258,2011-02-12T23:50:57Z,1072
-73.8508151,42.8022196,2011-02-13T00:00:13Z,1072
-73.8508196,42.8023631,2011-02-13T00:10:38Z,1072
-73.8508995,42.802398,2011-02-13T00:20:19Z,1072
-73.8509889,42.8024908,2011-02-13T00:30:08Z,1072
-73.8507444,42.8021989,2011-02-13T00:40:40Z,1072
-73.850925,42.8025278,2011-02-13T00:50:52Z,1072
-73.8514746,42.8035752,2011-02-13T07:30:30Z,1072
-73.8533685,42.8063485,2011-02-13T07:41:04Z,1072
-73.8568,42.8087643,2011-02-13T07:50:16Z,1072
-73.8592818,42.8086054,2011-02-13T08:00:16Z,1072
-73.8580661,42.8039736,2011-02-13T08:20:46Z,1072
-73.8580704,42.8040393,2011-02-13T08:30:21Z,1072
-73.8579814,42.803965,2011-02-13T08:40:10Z,1072
-73.8549134,42.8030401,2011-02-13T08:50:21Z,1072
-73.8494478,42.8018824,2011-02-13T09:00:29Z,1072
-73.8494799,42.801836,2011-02-13T22:50:56Z,1072
-73.8494262,42.8019915,2011-02-13T23:30:43Z,1072
-73.8471203,42.79865,2011-02-13T23:41:02Z,1072
-73.8479121,42.795048,2011-02-13T23:50:34Z,1072
-73.8505778,42.7924368,2011-02-14T00:00:49Z,1072
-73.855169,42.7907483,2011-02-14T00:10:28Z,1072
-73.8600937,42.7907385,2011-02-14T00:20:20Z,1072
-73.8657385,42.7934077,2011-02-14T00:31:20Z,1072
-73.869534,42.7945653,2011-02-14T00:40:55Z,1072
-73.8699575,42.7950552,2011-02-14T00:50:45Z,1072
-73.8695569,42.795145,2011-02-14T01:00:52Z,1072
-73.8698509,42.7950067,2011-02-14T01:10:10Z,1072
-73.8697339,42.7951918,2011-02-14T01:20:20Z,1072
-73.8698037,42.7950597,2011-02-14T01:30:53Z,1072
-73.8737014,42.7959385,2011-02-14T01:40:19Z,1072
-73.8762421,42.7952748,2011-02-14T01:50:44Z,1072
-73.8740733,42.7960096,2011-02-14T02:01:31Z,1072
-73.8742286,42.7957994,2011-02-14T02:11:21Z,1072
-73.8742778,42.7957706,2011-02-14T02:20:19Z,1072
-73.8742523,42.795578,2011-02-14T02:30:27Z,1072
-73.8709741,42.7951815,2011-02-14T02:40:45Z,1072
-73.8656262,42.7916741,2011-02-14T02:50:42Z,1072
-73.8651136,42.7909021,2011-02-14T03:00:46Z,1072
-73.8652526,42.7908097,2011-02-14T03:10:51Z,1072
-73.865054,42.790899,2011-02-14T03:20:37Z,1072
-73.8651874,42.7911674,2011-02-14T03:30:21Z,1072
-73.8654113,42.7909206,2011-02-14T03:40:15Z,1072
-73.8653368,42.7907212,2011-02-14T03:50:15Z,1072
-73.8655843,42.7907094,2011-02-14T04:00:46Z,1072
-73.8653288,42.7907664,2011-02-14T04:10:16Z,1072
-73.8652735,42.7908464,2011-02-14T04:20:22Z,1072
-73.8652288,42.7908352,2011-02-14T04:30:25Z,1072
-73.8652977,42.7907739,2011-02-14T04:40:34Z,1072
-73.8651636,42.7907118,2011-02-14T04:50:17Z,1072
-73.8656187,42.7909972,2011-02-14T05:00:46Z,1072
-73.8654779,42.7906907,2011-02-14T05:10:39Z,1072
-73.8650404,42.7905436,2011-02-14T05:20:41Z,1072
-73.8651035,42.7905163,2011-02-14T05:30:19Z,1072
-73.8656258,42.7913092,2011-02-14T05:40:40Z,1072
-73.8649764,42.7906364,2011-02-14T05:50:14Z,1072
-73.8652044,42.7908102,2011-02-14T06:00:46Z,1072
-73.865153,42.79085,2011-02-14T06:10:34Z,1072
-73.8635969,42.7879808,2011-02-14T06:20:43Z,1072
-73.8593084,42.7859391,2011-02-14T06:31:00Z,1072
-73.8548567,42.7846182,2011-02-14T06:40:07Z,1072
